,0
371,tensor([[-0.1901]])
372,tensor([[-0.1901]])
373,tensor([[-0.1901]])
374,tensor([[-0.1901]])
375,tensor([[-0.1901]])
376,tensor([[-0.1901]])
377,tensor([[-0.1901]])
378,tensor([[-0.1901]])
379,tensor([[-0.1901]])
380,tensor([[-0.1901]])
381,tensor([[-0.1901]])
382,tensor([[-0.1901]])
383,tensor([[-0.1901]])
384,tensor([[-0.1901]])
385,tensor([[-0.1901]])
386,tensor([[-0.1901]])
387,tensor([[-0.1901]])
388,tensor([[-0.1901]])
389,tensor([[-0.1901]])
390,tensor([[-0.1901]])
391,tensor([[-0.1901]])
392,tensor([[-0.1901]])
393,tensor([[-0.1901]])
394,tensor([[-0.1901]])
395,tensor([[-0.1901]])
396,tensor([[-0.1901]])
397,tensor([[-0.1901]])
398,tensor([[-0.1901]])
399,tensor([[-0.1901]])
400,tensor([[-0.1901]])
401,tensor([[-0.1901]])
402,tensor([[-0.1901]])
403,tensor([[-0.1901]])
404,tensor([[-0.1901]])
405,tensor([[-0.1901]])
406,tensor([[-0.1901]])
407,tensor([[-0.1901]])
408,tensor([[-0.1901]])
409,tensor([[-0.1901]])
410,tensor([[-0.1901]])
411,tensor([[-0.1901]])
412,tensor([[-0.1901]])
413,tensor([[-0.1901]])
414,tensor([[-0.1901]])
415,tensor([[-0.1901]])
416,tensor([[-0.1901]])
417,tensor([[-0.1901]])
418,tensor([[-0.1901]])
419,tensor([[-0.1901]])
420,tensor([[-0.1901]])
421,tensor([[-0.1901]])
422,tensor([[-0.1901]])
423,tensor([[-0.1901]])
424,tensor([[-0.1901]])
425,tensor([[-0.1901]])
426,tensor([[-0.1901]])
427,tensor([[-0.1901]])
428,tensor([[-0.1901]])
429,tensor([[-0.1901]])
430,tensor([[-0.1901]])
431,tensor([[-0.1901]])
432,tensor([[-0.1901]])
433,tensor([[-0.1901]])
434,tensor([[-0.1901]])
435,tensor([[-0.1901]])
436,tensor([[-0.1901]])
437,tensor([[-0.1901]])
438,tensor([[-0.1901]])
439,tensor([[-0.1901]])
440,tensor([[-0.1901]])
441,tensor([[-0.1901]])
442,tensor([[-0.1901]])
443,tensor([[-0.1901]])
444,tensor([[-0.1901]])
445,tensor([[-0.1901]])
446,tensor([[-0.1901]])
447,tensor([[-0.1901]])
448,tensor([[-0.1901]])
449,tensor([[-0.1901]])
450,tensor([[-0.1901]])
451,tensor([[-0.1901]])
452,tensor([[-0.1901]])
453,tensor([[-0.1901]])
454,tensor([[-0.1901]])
455,tensor([[-0.1901]])
456,tensor([[-0.1901]])
457,tensor([[-0.1901]])
458,tensor([[-0.1901]])
459,tensor([[-0.1901]])
460,tensor([[-0.1901]])
461,tensor([[-0.1901]])
462,tensor([[-0.1901]])
463,tensor([[-0.1901]])
464,tensor([[-0.1901]])
465,tensor([[-0.1901]])
466,tensor([[-0.1901]])
467,tensor([[-0.1901]])
468,tensor([[-0.1901]])
469,tensor([[-0.1901]])
470,tensor([[-0.1901]])
471,tensor([[-0.1901]])
472,tensor([[-0.1901]])
473,tensor([[-0.1901]])
474,tensor([[-0.1901]])
475,tensor([[-0.1901]])
476,tensor([[-0.1901]])
477,tensor([[-0.1901]])
478,tensor([[-0.1901]])
479,tensor([[-0.1901]])
480,tensor([[-0.1901]])
481,tensor([[-0.1901]])
482,tensor([[-0.1901]])
483,tensor([[-0.1901]])
484,tensor([[-0.1901]])
485,tensor([[-0.1901]])
486,tensor([[-0.1901]])
487,tensor([[-0.1901]])
488,tensor([[-0.1901]])
489,tensor([[-0.1901]])
490,tensor([[-0.1901]])
491,tensor([[-0.1901]])
492,tensor([[-0.1901]])
493,tensor([[-0.1901]])
494,tensor([[-0.1901]])
495,tensor([[-0.1901]])
496,tensor([[-0.1901]])
497,tensor([[-0.1901]])
498,tensor([[-0.1901]])
499,tensor([[-0.1901]])
500,tensor([[-0.1901]])
501,tensor([[-0.1901]])
502,tensor([[-0.1901]])
503,tensor([[-0.1901]])
504,tensor([[-0.1901]])
505,tensor([[-0.1901]])
506,tensor([[-0.1901]])
507,tensor([[-0.1901]])
508,tensor([[-0.1901]])
509,tensor([[-0.1901]])
510,tensor([[-0.1901]])
511,tensor([[-0.1901]])
512,tensor([[-0.1901]])
513,tensor([[-0.1901]])
514,tensor([[-0.1901]])
515,tensor([[-0.1901]])
516,tensor([[-0.1901]])
517,tensor([[-0.1901]])
518,tensor([[-0.1901]])
519,tensor([[-0.1901]])
520,tensor([[-0.1901]])
521,tensor([[-0.1901]])
522,tensor([[-0.1901]])
523,tensor([[-0.1901]])
524,tensor([[-0.1901]])
525,tensor([[-0.1901]])
526,tensor([[-0.1901]])
527,tensor([[-0.1901]])
528,tensor([[-0.1901]])
529,tensor([[-0.1901]])
530,tensor([[-0.1901]])
531,tensor([[-0.1901]])
532,tensor([[-0.1901]])
533,tensor([[-0.1901]])
534,tensor([[-0.1901]])
535,tensor([[-0.1901]])
536,tensor([[-0.1901]])
537,tensor([[-0.1901]])
538,tensor([[-0.1901]])
539,tensor([[-0.1901]])
540,tensor([[-0.1901]])
541,tensor([[-0.1901]])
542,tensor([[-0.1901]])
543,tensor([[-0.1901]])
544,tensor([[-0.1901]])
545,tensor([[-0.1901]])
546,tensor([[-0.1901]])
547,tensor([[-0.1901]])
548,tensor([[-0.1901]])
549,tensor([[-0.1901]])
550,tensor([[-0.1901]])
551,tensor([[-0.1901]])
552,tensor([[-0.1901]])
553,tensor([[-0.1901]])
554,tensor([[-0.1901]])
555,tensor([[-0.1901]])
556,tensor([[-0.1901]])
557,tensor([[-0.1901]])
558,tensor([[-0.1901]])
559,tensor([[-0.1901]])
560,tensor([[-0.1901]])
561,tensor([[-0.1901]])
562,tensor([[-0.1901]])
563,tensor([[-0.1901]])
564,tensor([[-0.1901]])
565,tensor([[-0.1901]])
566,tensor([[-0.1901]])
567,tensor([[-0.1901]])
568,tensor([[-0.1901]])
569,tensor([[-0.1901]])
570,tensor([[-0.1901]])
571,tensor([[-0.1901]])
572,tensor([[-0.1901]])
573,tensor([[-0.1901]])
574,tensor([[-0.1901]])
575,tensor([[-0.1901]])
576,tensor([[-0.1901]])
577,tensor([[-0.1901]])
578,tensor([[-0.1901]])
579,tensor([[-0.1901]])
580,tensor([[-0.1901]])
581,tensor([[-0.1901]])
582,tensor([[-0.1901]])
583,tensor([[-0.1901]])
584,tensor([[-0.1901]])
585,tensor([[-0.1901]])
586,tensor([[-0.1901]])
587,tensor([[-0.1901]])
588,tensor([[-0.1901]])
589,tensor([[-0.1901]])
590,tensor([[-0.1901]])
591,tensor([[-0.1901]])
592,tensor([[-0.1901]])
593,tensor([[-0.1901]])
594,tensor([[-0.1901]])
595,tensor([[-0.1901]])
596,tensor([[-0.1901]])
597,tensor([[-0.1901]])
598,tensor([[-0.1901]])
599,tensor([[-0.1901]])
600,tensor([[-0.1901]])
601,tensor([[-0.1901]])
602,tensor([[-0.1901]])
603,tensor([[-0.1901]])
604,tensor([[-0.1901]])
605,tensor([[-0.1901]])
606,tensor([[-0.1901]])
