,0
826,tensor([[-0.2321]])
827,tensor([[-0.2321]])
828,tensor([[-0.2321]])
829,tensor([[-0.2321]])
830,tensor([[-0.2321]])
831,tensor([[-0.2321]])
832,tensor([[-0.2321]])
833,tensor([[-0.2321]])
834,tensor([[-0.2321]])
835,tensor([[-0.2321]])
836,tensor([[-0.2321]])
837,tensor([[-0.2321]])
838,tensor([[-0.2321]])
839,tensor([[-0.2321]])
840,tensor([[-0.2321]])
841,tensor([[-0.2321]])
842,tensor([[-0.2321]])
843,tensor([[-0.2321]])
844,tensor([[-0.2321]])
845,tensor([[-0.2321]])
846,tensor([[-0.2321]])
847,tensor([[-0.2321]])
848,tensor([[-0.2321]])
849,tensor([[-0.2321]])
850,tensor([[-0.2321]])
851,tensor([[-0.2321]])
852,tensor([[-0.2321]])
853,tensor([[-0.2321]])
854,tensor([[-0.2321]])
855,tensor([[-0.2321]])
856,tensor([[-0.2321]])
857,tensor([[-0.2321]])
858,tensor([[-0.2321]])
859,tensor([[-0.2321]])
860,tensor([[-0.2321]])
861,tensor([[-0.2321]])
862,tensor([[-0.2321]])
863,tensor([[-0.2321]])
864,tensor([[-0.2321]])
865,tensor([[-0.2321]])
866,tensor([[-0.2321]])
867,tensor([[-0.2321]])
868,tensor([[-0.2321]])
869,tensor([[-0.2321]])
870,tensor([[-0.2321]])
871,tensor([[-0.2321]])
872,tensor([[-0.2321]])
873,tensor([[-0.2321]])
874,tensor([[-0.2321]])
875,tensor([[-0.2321]])
876,tensor([[-0.2321]])
877,tensor([[-0.2321]])
878,tensor([[-0.2321]])
879,tensor([[-0.2321]])
880,tensor([[-0.2321]])
881,tensor([[-0.2321]])
882,tensor([[-0.2321]])
883,tensor([[-0.2321]])
884,tensor([[-0.2321]])
885,tensor([[-0.2321]])
886,tensor([[-0.2321]])
887,tensor([[-0.2321]])
888,tensor([[-0.2321]])
889,tensor([[-0.2321]])
890,tensor([[-0.2321]])
891,tensor([[-0.2321]])
892,tensor([[-0.2321]])
893,tensor([[-0.2321]])
894,tensor([[-0.2321]])
895,tensor([[-0.2321]])
896,tensor([[-0.2321]])
897,tensor([[-0.2321]])
898,tensor([[-0.2321]])
899,tensor([[-0.2321]])
900,tensor([[-0.2321]])
901,tensor([[-0.2321]])
902,tensor([[-0.2321]])
903,tensor([[-0.2321]])
904,tensor([[-0.2321]])
905,tensor([[-0.2321]])
906,tensor([[-0.2321]])
907,tensor([[-0.2321]])
908,tensor([[-0.2321]])
909,tensor([[-0.2321]])
910,tensor([[-0.2321]])
911,tensor([[-0.2321]])
912,tensor([[-0.2321]])
913,tensor([[-0.2321]])
914,tensor([[-0.2321]])
915,tensor([[-0.2321]])
916,tensor([[-0.2321]])
917,tensor([[-0.2321]])
918,tensor([[-0.2321]])
919,tensor([[-0.2321]])
920,tensor([[-0.2321]])
921,tensor([[-0.2321]])
922,tensor([[-0.2321]])
923,tensor([[-0.2321]])
924,tensor([[-0.2321]])
925,tensor([[-0.2321]])
926,tensor([[-0.2321]])
927,tensor([[-0.2321]])
928,tensor([[-0.2321]])
929,tensor([[-0.2321]])
930,tensor([[-0.2321]])
931,tensor([[-0.2321]])
